user_id,onboarding_path,signup_device,team_size,invited_teammates,first_week_actions,time_to_activation_days,activated_observed,followup_days
U0001,Guided Setup,Desktop,department,4,6,5,1,41
U0002,Guided Setup,Mobile,small_team,1,2,30,0,30
U0003,Self Serve,Mobile,solo,0,2,1,1,28
U0004,Self Serve,Mobile,solo,0,1,10,1,45
U0005,Self Serve,Mobile,solo,0,3,12,1,36
U0006,Guided Setup,Mobile,solo,1,5,33,1,41
U0007,Guided Setup,Desktop,solo,0,4,6,1,30
U0008,Guided Setup,Mobile,solo,1,4,31,0,31
U0009,Self Serve,Desktop,small_team,5,7,4,1,35
U0010,Self Serve,Mobile,small_team,0,3,1,1,32
U0011,Guided Setup,Desktop,small_team,2,5,28,1,35
U0012,Concierge,Desktop,solo,0,7,3,1,44
U0013,Guided Setup,Mobile,department,7,6,4,1,32
U0014,Guided Setup,Desktop,small_team,4,3,2,1,32
U0015,Self Serve,Mobile,solo,0,3,8,1,37
U0016,Self Serve,Mobile,solo,0,0,37,0,37
U0017,Guided Setup,Mobile,solo,1,11,1,1,34
U0018,Guided Setup,Mobile,solo,0,3,7,1,33
U0019,Self Serve,Desktop,small_team,2,5,16,1,45
U0020,Self Serve,Mobile,small_team,0,0,24,1,32
U0021,Self Serve,Desktop,solo,0,3,13,1,44
U0022,Guided Setup,Mobile,solo,0,4,13,1,34
U0023,Self Serve,Desktop,department,6,4,4,1,29
U0024,Self Serve,Desktop,solo,0,3,18,1,43
U0025,Self Serve,Desktop,department,6,6,2,1,37
U0026,Self Serve,Desktop,small_team,3,6,6,1,33
U0027,Self Serve,Mobile,small_team,3,6,40,0,40
U0028,Guided Setup,Mobile,small_team,2,4,25,1,39
U0029,Guided Setup,Desktop,small_team,2,5,21,1,36
U0030,Guided Setup,Mobile,solo,1,9,21,1,39
U0031,Self Serve,Desktop,solo,2,4,2,1,34
U0032,Self Serve,Desktop,small_team,1,4,5,1,29
U0033,Self Serve,Desktop,solo,1,8,5,1,43
U0034,Self Serve,Desktop,solo,0,3,9,1,41
U0035,Guided Setup,Mobile,small_team,2,5,13,1,35
U0036,Self Serve,Desktop,solo,1,5,5,1,36
U0037,Self Serve,Mobile,small_team,1,2,17,1,43
U0038,Self Serve,Desktop,small_team,1,3,12,1,35
U0039,Self Serve,Desktop,solo,0,3,23,1,40
U0040,Self Serve,Mobile,solo,3,5,32,0,32
U0041,Self Serve,Mobile,small_team,1,5,17,1,34
U0042,Self Serve,Desktop,department,5,4,18,1,36
