customer_id,plan,industry,seats,monthly_fee,login_days_30,support_tickets_30,discount_pct,training_completed,duration_days,churn_observed
S00001,Pro,Manufacturing,5,84.3,15,2,30,1,296,0
S00002,Pro,Manufacturing,4,89.26,16,1,20,1,91,1
S00003,Basic,Manufacturing,1,47.33,11,4,0,0,69,1
S00004,Basic,SaaS,3,60.42,8,2,0,0,128,1
S00005,Basic,Manufacturing,5,70.91,4,2,0,0,62,1
S00006,Basic,SaaS,2,47.86,6,0,5,0,261,0
S00007,Pro,Healthcare,2,71.85,23,0,0,1,259,0
S00008,Pro,Healthcare,4,84.54,16,0,0,1,46,1
S00009,Pro,Retail,5,82.37,9,2,0,1,86,1
S00010,Basic,Retail,4,67.86,8,1,0,0,1,1
S00011,Pro,Healthcare,8,119.4,11,1,0,1,14,1
S00012,Pro,Retail,3,81.9,14,1,5,1,259,0
S00013,Pro,SaaS,5,83.61,18,0,20,1,273,0
S00014,Basic,Healthcare,1,46.89,9,0,0,1,137,1
S00015,Pro,Retail,5,81.75,10,0,0,0,234,0
S00016,Enterprise,Healthcare,3,196.23,13,1,5,1,174,0
S00017,Basic,Manufacturing,4,56.32,5,4,0,0,4,1
S00018,Basic,Retail,2,47.64,8,2,20,0,323,0
S00019,Pro,Healthcare,5,88.9,18,1,0,1,233,0
S00020,Pro,Healthcare,8,111.44,12,0,20,0,177,0
S00021,Pro,Manufacturing,14,168.15,10,1,20,1,187,0
S00022,Basic,SaaS,2,47.39,9,4,5,0,117,1
S00023,Pro,Retail,3,80.4,14,1,10,0,188,0
S00024,Basic,Manufacturing,2,51.73,6,1,0,1,234,1
S00025,Enterprise,Manufacturing,9,230.23,12,1,5,1,160,0
S00026,Pro,Manufacturing,3,74.01,14,0,0,0,139,1
S00027,Pro,Healthcare,6,113.34,13,0,20,0,304,1
S00028,Pro,Healthcare,4,80.69,10,1,20,1,337,0
S00029,Basic,Retail,2,56.38,5,0,5,1,340,1
S00030,Basic,SaaS,15,156.74,5,1,0,0,230,1
S00031,Basic,SaaS,4,63.99,3,1,10,1,98,1
S00032,Basic,SaaS,7,83.31,5,3,5,1,68,1
S00033,Pro,Retail,3,88.92,10,1,0,0,134,1
S00034,Pro,Retail,7,124.23,12,1,0,0,18,1
S00035,Pro,SaaS,9,130.82,18,2,0,0,365,0
S00036,Pro,Manufacturing,1,70.29,10,0,0,0,154,0
S00037,Pro,SaaS,6,95.45,8,1,20,1,332,0
S00038,Pro,Retail,3,75.59,16,2,0,1,230,0
