customer_id,signup_date,plan,acquisition_channel,region,company_size,annual_contract,first_30_logins,key_feature_events_30,support_tickets_30,payment_failures_30,onboarding_score_30,duration_days_since_signup,churn_observed,study_end_date
R00001,2024-09-08,Starter,Paid Search,North America,11-50,0,8,6,2,0,65.9,295,0,2025-06-30
R00002,2024-11-06,Starter,Paid Search,APAC,1-10,0,10,1,1,0,62.9,233,1,2025-06-30
R00003,2024-03-27,Starter,Paid Search,APAC,51-200,0,3,3,0,0,51.6,144,1,2025-06-30
R00004,2024-02-08,Growth,Partner,LATAM,1-10,0,8,4,0,0,58.0,508,0,2025-06-30
R00005,2024-12-01,Starter,Organic,North America,11-50,0,9,3,1,1,28.2,211,0,2025-06-30
R00006,2024-06-01,Starter,Paid Search,APAC,1-10,0,2,3,0,0,60.2,214,1,2025-06-30
R00007,2024-04-03,Starter,Paid Search,North America,51-200,1,11,5,2,0,70.2,203,1,2025-06-30
R00008,2024-05-26,Starter,Organic,Europe,11-50,0,7,2,1,0,56.9,138,1,2025-06-30
R00009,2024-01-07,Starter,Organic,North America,11-50,0,9,3,1,0,58.4,265,1,2025-06-30
R00010,2024-01-10,Starter,Paid Search,LATAM,1-10,0,6,2,7,0,18.8,9,1,2025-06-30
R00011,2024-02-23,Growth,Partner,Europe,1-10,0,9,1,0,0,59.9,493,0,2025-06-30
R00012,2024-04-01,Growth,Partner,Europe,11-50,0,4,1,3,0,12.2,51,1,2025-06-30
R00013,2024-05-21,Scale,Paid Search,APAC,201+,1,13,6,3,0,83.2,405,0,2025-06-30
R00014,2024-06-09,Starter,Organic,North America,11-50,0,3,2,0,0,59.7,386,0,2025-06-30
R00015,2024-06-17,Scale,Partner,LATAM,11-50,0,12,4,2,0,48.1,327,1,2025-06-30
R00016,2024-10-15,Growth,Organic,LATAM,11-50,0,5,1,1,0,31.5,67,1,2025-06-30
R00017,2024-12-15,Scale,Partner,Europe,201+,0,9,2,0,0,62.8,197,0,2025-06-30
R00018,2024-11-14,Starter,Outbound,Europe,11-50,0,6,2,3,0,36.3,82,1,2025-06-30
R00019,2024-07-05,Scale,Organic,LATAM,1-10,1,15,8,1,0,81.2,360,0,2025-06-30
R00020,2024-02-20,Growth,Partner,Europe,11-50,0,7,0,0,0,44.0,496,0,2025-06-30
R00021,2024-05-10,Starter,Organic,Europe,51-200,0,6,2,1,0,39.0,130,1,2025-06-30
